City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Gusau,NG,74.23,moderate rain,12.1628,6.6614,Gusau
513,Jiayuguan,CN,75.61,overcast clouds,39.8167,98.3,Jiayuguan City
514,Lexington,US,86.09,overcast clouds,37.9887,-84.4777,Lexington
515,Cikampek,ID,75.22,overcast clouds,-6.4197,107.4558,Cikampek
517,Rameswaram,IN,82.67,overcast clouds,9.2833,79.3,Rameswaram
518,Nicoya,CR,85.73,few clouds,10.1483,-85.452,Nicoya
519,Faanui,PF,76.59,light rain,-16.4833,-151.75,Vaitape
520,Sangmelima,CM,70.68,overcast clouds,2.9333,11.9833,Sangmelima
526,Palauig,PH,79.27,overcast clouds,15.435,119.9045,Palauig
532,Goundi,TD,70.68,light rain,9.3627,17.366,Goundi
533,Meulaboh,ID,77.72,broken clouds,4.1363,96.1285,Meulaboh
534,Puerto Escondido,MX,85.26,overcast clouds,15.85,-97.0667,Puerto Escondido
535,Birjand,IR,84.67,clear sky,32.8663,59.2211,Birjand
536,Scottsbluff,US,96.78,clear sky,41.8666,-103.6672,Scottsbluff
537,Placido De Castro,BR,94.82,broken clouds,-10.3353,-67.1856,Plácido de Castro
538,Angoche,MZ,70.57,light rain,-16.2325,39.9086,Angoche Island
541,Urucara,BR,94.51,broken clouds,-2.5364,-57.76,Urucará
545,Pacific Grove,US,70.21,few clouds,36.6177,-121.9166,Monterey
547,Kalmunai,LK,81.84,overcast clouds,7.4167,81.8167,Kalmunai
548,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Puerto del Rosario
550,Mangan,IN,77.58,overcast clouds,27.5167,88.5333,Mangan
551,Paragominas,BR,90.68,overcast clouds,-2.9667,-47.4833,Nova Conquista
552,Ajdabiya,LY,82.8,clear sky,30.7554,20.2263,Ajdabiya
553,Hastings,GB,82.27,broken clouds,50.8552,0.5729,Hastings
555,Turkeve,HU,80.65,scattered clouds,47.1,20.75,Túrkeve
557,Cartagena,CO,87.42,broken clouds,10.3997,-75.5144,Cartagena
558,Tulsipur,NP,83.68,broken clouds,28.131,82.2973,Tulsipur
560,Gat,IL,80.82,clear sky,31.61,34.7642,Kiryat Gat
562,Semaria,IN,90.16,broken clouds,24.3073,79.9718,Kamtana
563,Flin Flon,CA,76.84,few clouds,54.7682,-101.865,Flin Flon
564,Fredericton,CA,82.83,few clouds,45.9454,-66.6656,Fredericton
565,Mizdah,LY,87.12,clear sky,31.4451,12.9801,Mizdah
566,Buenavista,PH,75.25,overcast clouds,8.9769,125.4089,Butuan City
568,Sarh,TD,78.71,clear sky,9.1429,18.3923,Sarh
569,Tessalit,ML,92.37,light rain,20.1986,1.0114,Achemelmel
571,Monterey,US,97.18,clear sky,36.2505,-121.2516,Bassetti Farms Shop
572,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Mitsamiouli
573,Yumen,CN,76.66,overcast clouds,40.2833,97.2,Jiuquan
575,Lisala,CD,72.7,light rain,2.15,21.5167,Lisala
577,Lufilufi,WS,71.38,light rain,-13.8745,-171.5986,Lufi-lufi
579,Lamlash,GB,73.36,overcast clouds,55.5336,-5.1296,Brodick
580,Tabuk,PH,74.3,broken clouds,17.4189,121.4443,Tabuk
581,Mahibadhoo,MV,81.99,moderate rain,3.7833,72.9667,Omadhoo
583,Rivers,CA,83.35,clear sky,50.0308,-100.2403,Rivers
585,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Cockburn Town
587,Saint Marys,US,92.12,haze,30.7305,-81.5465,St. Marys
588,Port-Cartier,CA,75.42,broken clouds,50.0334,-66.8654,Port-Cartier
590,Makaha,US,78.06,broken clouds,21.4694,-158.2175,Waianae
591,Metro,ID,75.27,broken clouds,-5.1131,105.3067,Metro
592,Yingcheng,CN,78.1,few clouds,30.95,113.55,Xiaogan
593,Marsh Harbour,BS,84.04,broken clouds,26.5412,-77.0636,Marsh Harbour
594,Sinnamary,GF,82.35,broken clouds,5.3833,-52.95,Sinnamary
595,Tahoua,NE,85.98,few clouds,14.8888,5.2692,Tahoua
596,Pakxan,LA,77.52,light rain,18.3778,103.6601,Paksan
597,Codajas,BR,94.33,broken clouds,-3.8367,-62.0569,Codajás
599,Washington,US,74.48,clear sky,47.5001,-120.5015,Cashmere
600,Winslow,US,92.79,scattered clouds,35.0242,-110.6974,Winslow
603,Bose,IT,92.16,clear sky,45.4612,8.0137,Viverone
604,Itaituba,BR,95.16,scattered clouds,-4.2761,-55.9836,Itaituba
607,Guiyang,CN,73.89,overcast clouds,26.5833,106.7167,Guiyang
611,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Klouklubed
612,Itacarambi,BR,88.03,clear sky,-15.1022,-44.0919,Itacarambi
613,Yafran,LY,80.62,clear sky,32.0633,12.5286,Yefren
614,Kashi,CN,81.61,clear sky,39.4547,75.9797,Kashgar Prefecture
615,Envira,BR,90.99,scattered clouds,-7.3,-70.2167,Envira
617,Mataro,ES,97.07,clear sky,41.5421,2.4445,Mataró
618,Humberto De Campos,BR,89.83,scattered clouds,-2.5983,-43.4611,Humberto de Campos
619,Sun Valley,US,94.68,clear sky,39.5963,-119.776,Reno
620,Islaz,RO,84.88,clear sky,43.7333,24.75,Islaz
623,Jerusalem,IL,73.13,clear sky,31.769,35.2163,Jerusalem
625,Dakoro,NE,82.36,heavy intensity rain,14.5106,6.765,Dakoro
627,Harrison,US,91.06,clear sky,30.4091,-89.0436,Gulfport
631,Bela,IN,96.4,broken clouds,25.9333,81.9833,Bela Pratapgarh
632,Mikhaylovka,RU,77.79,overcast clouds,50.06,43.2379,Mikhaylovka
634,Carballo,ES,85.42,scattered clouds,43.213,-8.691,Carballo
635,Makakilo City,US,76.69,broken clouds,21.3469,-158.0858,Kapolei
637,Najran,SA,92.05,overcast clouds,17.4924,44.1277,Najran
638,Mogadishu,SO,76.55,few clouds,2.0371,45.3438,Mogadishu
639,Camargo,MX,88.9,scattered clouds,27.6667,-105.1667,Camargo
640,Dzilam Gonzalez,MX,93.47,clear sky,21.2833,-88.9333,Dzilam González
644,Mahajanga,MG,80.62,scattered clouds,-15.7167,46.3167,Mahajanga
648,Padang,ID,73.45,broken clouds,-0.9492,100.3543,Padang
649,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Fergana
651,Palmer,US,89.49,few clouds,42.1584,-72.3287,Palmer
653,Jaguaribe,BR,93.31,broken clouds,-5.8906,-38.6219,Jaguaribe
654,Elliot Lake,CA,81.07,clear sky,46.3834,-82.6331,Elliot Lake
656,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Cayenne
